assignee_name,fyear,inv_name
C Mazzagatti,1972.0,1
C Roberts,1971.0,1
C Savage,1971.0,1
C Sheung,1971.0,1
C Williams,1971.0,1
CROMPTON ELECTRICARS Ltd,1974.0,1
Calgon C0Rp,1968.0,1
Calgon C0Rp,1969.0,0
Campbell Donald K,1975.0,1
Carburetion Units Ltd,1968.0,2
Carl F High,1969.0,6
Carl F High,1973.0,5
Carl G Catalano,1969.0,1
Carl George Stephenson,1974.0,2
Carlyle M Ashley,1973.0,4
Carter James B Ltd,1969.0,1
Caterpillar Tractor Co,1968.0,12
Caterpillar Tractor Co,1969.0,0
Caterpillar Tractor Co,1970.0,8
Caterpillar Tractor Co,1971.0,1
Caterpillar Tractor Co,1972.0,2
Cav Ltd,1968.0,8
Cav Ltd,1969.0,4
Cav Ltd,1971.0,2
Cb Ass Ltd,1968.0,2
Cecil T Cookson,1970.0,6
Chai Mun Leong,1973.0,6
Chantiers Navals De La Cistat,1969.0,4
Chappellier Robert A,1974.0,3
Charles A Hisserich,1973.0,5
Charles Bancroft,1973.0,1
Charles J Mager,1970.0,1
Charles Joseph,1973.0,3
Charles L Shano,1970.0,3
Charles Leonard Webb,1974.0,4
Charles W Macmillan,1970.0,1
Cheong Chee Bun,1971.0,6
Chesterfield Yarn Mills Inc,1971.0,1
Chicago Stainless Equipment,1969.0,1
Christopher A Jacobs,1972.0,3
Christos Papachristou,1971.0,1
Chrysler Corp,1968.0,14
Chrysler Corp,1969.0,1
Chrysler Corp,1971.0,2
Chrysler France,1970.0,1
Chrystal Corp,1969.0,1
Ciotat La,1969.0,3
Citroen Sa Andre,1968.0,8
Ckd Praha,1968.0,3
Clarence Bartlett,1970.0,12
Clarence J Heisler,1969.0,1
Clarence W Ehlert,1973.0,1
Clayton Edwards,1968.0,4
Clement A Skalski,1971.0,2
Clemente Minoza,1973.0,5
Cleo C Stratton,1970.0,3
Cleo C Stratton,1973.0,3
Clifford L Lamkin,1970.0,4
Clifton R Holcomb,1968.0,2
Colin Thomas Timms,1970.0,1
Colt Ind Operating Corp,1972.0,1
Compteurs Comp D,1968.0,3
Concentric Pump Ltd,1968.0,4
Continental Aviat &amp; Eng Corp,1967.0,1
Continental Aviat &amp; Eng Corp,1968.0,7
Continental Motors Corp,1968.0,1
Continental Motors Corp,1969.0,4
Cook Danny G,1974.0,3
Cummins Engine Co Inc,1969.0,5
Curran P,1971.0,4
Curtiss Wright Corp,1968.0,1
Curtiss Wright Corp,1969.0,2
Curtiss Wright Corp,1971.0,7
D Bartholomew,1972.0,5
D Bastow,1972.0,1
D Dillow,1971.0,1
D Fisher,1972.0,1
D Gommel,1972.0,4
D Griffin,1972.0,1
D Kammeraad,1971.0,2
D Mainprize,1971.0,3
D Perry,1971.0,1
D Peterson,1972.0,1
D Reed,1972.0,1
D Smith,1972.0,2
D Snyder,1973.0,1
DEUTSCHE AUTOMOBILGESELLSCHAFT MBH Firma,1975.0,1
Daimler Benz Ag,1967.0,40
Daimler Benz Ag,1968.0,24
Daimler Benz Ag,1969.0,6
Daimler Benz Ag,1970.0,17
Daimler Benz Ag,1971.0,3
Daimler Benz Ag,1972.0,2
Daimler Benz Ag,1973.0,9
Daimler Benz Ag,1974.0,7
Daimler-Benz AG,1968.0,3
Daimler-Benz AG,1974.0,27
Daimler-Benz AG,1975.0,1
Daisaku Odawara,1969.0,1
Daisaku Odawara,1970.0,6
Dale Bartlett,1970.0,12
Dale Herbrandson,1974.0,2
Dalton Smith L,1971.0,2
Dana Corp,1967.0,3
Dana Corp,1968.0,2
Dana Corp,1969.0,1
Danfoss As,1967.0,1
Danfoss As,1969.0,0
Daniel C Lorti,1974.0,1
Daniel E Nelson,1970.0,11
Daniel Franco,1975.0,5
Daniels Jr Phillip S,1975.0,1
David A Brown,1974.0,1
David Cropp,1970.0,1
David E Burrowes,1974.0,1
David E Sherrill,1968.0,5
David E Tanner,1970.0,2
David H La Forge,1970.0,1
David M Hines,1973.0,1
David Morgan,1968.0,2
David P Ganoung,1973.0,1
David Rubin,1974.0,4
David V Petty,1968.0,2
Davis George B Jun,1973.0,2
Deere &amp; Co,1968.0,1
Deere &amp; Co,1971.0,1
Demetrescu Mihai C,1974.0,3
Dennis L Franz,1973.0,4
Derosa John,1974.0,1
Deutsche Vergaser Gmbh Co Kg,1967.0,3
Digi Log Systems Inc,1971.0,4
Dimitracopoulos Panayotis C,1974.0,3
Dixon Don P,1974.0,2
Dolfi Sr James J,1974.0,1
Don C Joslyn,1974.0,1
Donald E Howard,1974.0,1
Donald J O Grady,1970.0,1
Donald R Mac,1973.0,1
Donald R Perry,1973.0,3
Dorado Research Corp,1969.0,1
Douglas Ray Paxton,1970.0,2
Dresser Ind,1968.0,1
Drexel C Partridge,1973.0,2
Drummond Ronald B,1975.0,1
Du Pont,1968.0,3
Dyer Glenn L,1975.0,3
Dynatech Corp,1968.0,3
E A E C,1970.0,1
E Amery,1972.0,2
E Bender,1972.0,1
E Brayley,1971.0,8
E Hummel,1972.0,1
E Iskenderian,1973.0,10
E Marcus,1972.0,3
E Melidosian,1972.0,1
E Phillips,1972.0,6
E Reinhard,1973.0,1
E Rice,1972.0,1
E Richter,1971.0,1
E Schubert,1972.0,1
E Schwartzman,1972.0,1
E Stinsa,1971.0,4
E Thomas,1971.0,4
E Wildhaber,1973.0,1
Earl G Bunce,1971.0,2
Earl Thompson Mfg Co,1966.0,1
Earl W Kloefkorn,1969.0,1
Eaton Stamping Co,1968.0,1
Eaton Yale &amp; Towne,1968.0,14
Eaton Yale &amp; Towne,1969.0,3
Edward C Wenzel,1970.0,2
Edward H Sahagian,1970.0,2
Edward Helbling,1974.0,1
Edward Howard Green,1972.0,6
Edward Howard Green,1973.0,2
Edward M Baltadonis,1969.0,3
Edward M Mcwhorter,1970.0,4
Edward M Mcwhorter,1972.0,4
Edward M Mcwhorter,1973.0,2
Edward M Mcwhorter,1974.0,2
Edward T Saylor Jr,1969.0,3
Edwin E Hurner,1974.0,1
Ehrlich Eng Ltd,1968.0,2
Eishin Nakamura,1970.0,1
Eleanor Burditt Krost,1971.0,1
Electric Fuel Propulsion Inc,1968.0,1
Electronique Informatique Soc,1970.0,15
Elmore Gerald C,1974.0,2
Elsbett G,1973.0,14
Elsbett L,1973.0,14
Elsbett L,1974.0,4
Eltra Corp,1969.0,9
Elwood L Havens,1969.0,1
Emil Georg Schubert,1974.0,1
Energy Research Corp Of Americ,1968.0,2
English Electric Co Ltd,1969.0,1
Engman Bert H,1970.0,3
Enrico Lamperti,1969.0,4
Envirotech Corp,1968.0,3
Eric John Stenner,1973.0,1
Ericsson Telefon Ab L M,1968.0,2
Ernest Burnside,1974.0,1
Ernest G Huber,1969.0,3
Ernest W Anderson,1973.0,1
Ernst Eggmann,1975.0,1
Erwin N Londo,1971.0,1
Espanola Magnetos Fab,1967.0,0
Ethyl Corp,1968.0,1
Eugene C Mccormick,1974.0,1
Eugene C Rollins,1970.0,2
Eugene Kostecki,1974.0,4
Eugene T Gaipo,1972.0,8
Everett H Benson,1974.0,1
Ewald A Busse,1969.0,1
Ewald A Busse,1970.0,2
Exline Inc,1969.0,1
Exxon Research Engineering Co,1967.0,3
Exxon Research Engineering Co,1968.0,2
Exxon Research Engineering Co,1970.0,4
F &amp; E Mfg Co,1965.0,0
F &amp; E Mfg Co,1968.0,1
F Barbieri,1971.0,1
F Bitonti,1971.0,2
F Cammi,1972.0,1
F Christensen,1973.0,6
F Cseh,1971.0,1
F Delfino,1973.0,2
F Donaldson,1970.0,2
F Florentine,1971.0,1
F Just,1973.0,3
F Madariaga,1971.0,1
F Melchlor,1971.0,5
F Minks,1971.0,14
F Murtin,1972.0,15
F Ortiz,1971.0,2
F Ottofy,1971.0,2
F Rychlik,1973.0,5
F Schrack,1972.0,2
F Statkus,1973.0,2
F Stonham,1971.0,3
Fairbanks Morse Inc,1968.0,4
Fairbanks Morse Inc,1969.0,4
Ferenc Cseh,1971.0,5
Fernand Grosclaude,1970.0,5
Fernandez John J,1975.0,3
Ferrall W Bailey,1970.0,1
Fiat Spa,1969.0,4
Fiat Spa,1970.0,2
Fichtel &amp; Sachs Ag,1968.0,6
Fime,1972.0,4
Fisher John H,1974.0,1
Floyd M Minks,1965.0,4
Floyd M Minks,1971.0,2
Folco Zambelli Gian Matteo,1974.0,1
Ford Motor Co,1968.0,22
Ford Motor Co,1969.0,1
Ford Motor Co,1970.0,15
Ford Motor Co,1971.0,8
Forest J Moray,1970.0,2
Forest J Moray,1971.0,2
Fram Corp,1968.0,2
France Armed Forces,1969.0,1
Francis A Fischer,1973.0,4
Francisco Barcelloni Corte,1973.0,6
Frank A Manfredi,1970.0,2
Frank A Redmond,1969.0,1
Frank B Ottofy,1968.0,1
Frank Brisko,1974.0,3
Frank J Petrie,1973.0,3
Frank Kenneth Luteran,1974.0,4
Frank R Nichols,1972.0,1
Frank Thing,1973.0,1
Frank W Kertell,1969.0,2
Franz Joachim Runge,1969.0,1
Franz Pischinger,1974.0,3
Fraser Webb Corp,1970.0,1
Fred A Goldfarb,1970.0,2
Fred V Hall,1969.0,2
Fred W Walker,1974.0,2
Frederick L Erickson,1970.0,7
Fredrik Jeremias Hogguer,1970.0,2
Friedrich Stumpfig,1968.0,4
Fritz Feller,1970.0,1
Fuel Injection Eng Co,1966.0,1
Fujikura Ltd,1967.0,3
G Aiti,1972.0,3
G Bethel,1972.0,2
G Boldt,1971.0,2
G Davis,1972.0,1
G Knee,1972.0,1
G Lewis,1973.0,2
G Maccaferri,1971.0,1
G Moran,1971.0,4
G Raptis,1973.0,2
G Robertson,1971.0,16
G Sahnas,1971.0,3
G Sorensen,1970.0,1
G Wolfe,1971.0,2
Garnet J Simington,1973.0,1
Garrett Corp,1968.0,2
Gary L Hammond,1971.0,1
Gary W Vest,1969.0,1
Gary W Vest,1974.0,1
Gas Dev Corp,1968.0,1
Gen Delivery,1968.0,1
Gen Electric,1968.0,3
Gen Electric,1969.0,1
Gen Electric,1970.0,5
Gen Electric &amp; English Electri,1968.0,0
Gen Fire Extinguisher Corp,1971.0,1
Gen Management Co,1966.0,2
Gen Mecanique Appliquee Soc In,1971.0,2
Gen Motors Corp,1966.0,1
Gen Motors Corp,1967.0,3
Gen Motors Corp,1968.0,40
Gen Motors Corp,1969.0,14
Gen Motors Corp,1970.0,27
Gen Motors Corp,1971.0,7
Gen Motors Corp,1972.0,7
Gen Motors Corp,1973.0,2
Geoffrey Ernest Josey,1970.0,1
Georg Karl Buergel,1975.0,1
George D Wolff,1968.0,1
George Hudson,1974.0,2
George R Stewart,1969.0,1
George W Cornelius,1969.0,4
George W Moran,1973.0,1
Gerald H Syrovy,1969.0,3
Gerald J Ashley,1968.0,6
Gerhard Wieckmann,1971.0,1
Gerrit De Vries,1969.0,3
Gerry Martin E,1973.0,4
Gerry Martin E,1975.0,2
Gilbert Maurice Loby,1971.0,4
Gilbert Van Avermaete,1969.0,1
Gillett Tool Co,1968.0,15
Gillett Tool Co,1969.0,3
Giovanni Gianini,1970.0,3
Glenn B Warren,1969.0,9
Glenn L Dyer,1974.0,1
Goggi Corp,1968.0,1
Gordini Automobiles Sa,1971.0,3
Gordon E Ries,1972.0,6
Gordon Elmer Hovey,1973.0,2
Gordon W Osborne,1974.0,1
Goserud Chester O,1975.0,2
Grainger Lewis M D,1974.0,3
Grant Ind,1967.0,1
Graybill Ind Inc,1969.0,4
Green Bay Res Corp,1969.0,4
Guadalajara De La Fuente,1972.0,4
Guadalajara De La Fuente,1973.0,3
Guenther William D,1974.0,11
Guinard Pompes,1973.0,1
Gunnar P Michelson,1974.0,8
Gunter Hartig,1974.0,8
Gunter Stahl,1973.0,5
Gunter Struber,1970.0,4
Gunther H W Dobbertin,1968.0,1
Gunther Heinrich Wilhelm Dobbe,1968.0,2
Gust S Fossum,1975.0,3
H Abbey,1971.0,1
H Abbey,1972.0,1
H Avery,1973.0,4
H Bennetto,1971.0,1
H Burden,1973.0,5
H Catherwood,1973.0,1
H Chen,1972.0,2
H Dauvergne,1970.0,2
H Dorsch,1971.0,2
H Douglass Moulton,1970.0,1
H Eriksson,1973.0,1
H Guehr,1970.0,2
H Guehr,1973.0,2
H Harings,1972.0,3
H Hedges,1970.0,1
H Himes,1972.0,4
H Hollnagel,1971.0,2
H Knapp,1970.0,2
H Logan,1971.0,1
H Mccaffrey,1970.0,1
H Mills,1971.0,1
H Morgenroth,1972.0,1
H Ottaway,1973.0,6
H Overby,1969.0,1
H Purtle,1972.0,1
H Sabet,1972.0,1
H Sabet,1973.0,2
H Shakiba,1971.0,2
H Takitani,1972.0,4
H Warner,1970.0,1
H Whittaker,1972.0,1
H Wood,1972.0,2
HANSHIN GIJUTSU KENKYUSHO KK,1974.0,1
Hailwood &amp; Ackroyd Ltd,1968.0,1
Hans Fimml,1974.0,1
Hans G Fox,1973.0,3
Hans List,1971.0,3
Hans List,1973.0,6
Hans List,1974.0,9
Hardwick Ralph G,1974.0,2
Harley D Johnson,1972.0,6
Harold Cragg,1974.0,1
Harold E Tatum,1974.0,1
Harold Litz,1974.0,1
Harry A Sherwin,1969.0,4
Harry M Reid,1968.0,1
Harry Zvi Tabor,1972.0,2
Hatz Motoren,1970.0,4
Hatz Motoren,1971.0,1
Hawkins Hom,1974.0,8
Heinrich Knapp,1973.0,3
Heinz Links,1971.0,3
Helmut Kottmann,1974.0,2
Henri Richard,1974.0,2
Henry Benaroya,1969.0,1
Henry E Bailey,1973.0,5
Henry L Daniels,1973.0,1
Henry N Brumm,1969.0,1
Henry Schottler,1974.0,1
Henry Stanford Stolworthy,1970.0,3
Herbert B Owsley,1971.0,6
Herbert M Gauck,1970.0,1
Hermann E R Papst,1970.0,3
Herwig Kress,1972.0,1
Hitachi Ltd,1968.0,5
Hitachi Ltd,1969.0,2
Hitachi Ltd,1971.0,2
Hitachi Ltd,1972.0,2
Hitachi Ltd,1973.0,17
Hitachi Ltd,1974.0,23
Hitachi Ltd,1975.0,5
Hivag Handels Und Ind Verwaltu,1967.0,1
Hoadley Harry W,1975.0,2
Hogere Tech School,1967.0,2
Hojnowski Edward J,1974.0,1
Holley Carburetor Co,1969.0,4
Hollins J R,1971.0,3
Hollins J R,1972.0,6
Hollins J R,1973.0,3
Holtrop John W,1975.0,2
Homer E Howard,1973.0,3
Honda Kk,1971.0,1
Honda Motor Co Ltd,1969.0,0
Honeywell Inc,1969.0,3
Howard E Elliff,1974.0,1
Howard P Rock,1973.0,1
Howell Roy M,1974.0,5
Hubert Schwelberger,1973.0,8
Hugh K Evans,1974.0,1
Hughes James C,1973.0,9
Hurd Fraser A,1974.0,2
I Gibson,1972.0,1
I Herpin,1970.0,4
I Niimi,1973.0,5
I Ussery,1973.0,3
Ind De Brenets Et D Etudes S I,1968.0,2
Ind Propane Inc,1970.0,4
Index Ind Inc,1969.0,1
Industrielle de Brevets et Detudes SIBE,1974.0,6
Inert Gas Corp,1969.0,1
Ingersoll Rand Co,1969.0,6
Inst Francais Du Petrole,1970.0,4
Int Harvester Co,1968.0,10
Int Harvester Co,1969.0,2
Int Harvester Co,1972.0,3
Irving Weiner,1973.0,1
Irwin G Ohlsson,1975.0,1
Isidoro N Markus,1973.0,4
Isuzu Motors Ltd,1969.0,3
Isuzu Motors Ltd,1974.0,3
Ite Imperial Corp,1968.0,4
Ivan Koderman,1974.0,2
Ivan Ruzic,1973.0,3
Ivan Yakovlevich Raikov,1974.0,10
Izumi Automotive Ind Co,1969.0,1
J &amp; S Carburetor Co,1971.0,1
J Arney,1972.0,3
J Baker,1972.0,2
J Bandimere,1969.0,1
J Bandimere,1972.0,2
J Barat,1972.0,15
J Barnard,1971.0,3
J Blitch,1973.0,1
J Brewer,1971.0,1
J Bucher,1972.0,2
J Bywater,1972.0,3
J Case,1973.0,1
J Dean,1972.0,1
J Doss,1970.0,3
J Dwyre,1971.0,3
J Feliz,1972.0,1
J Firey,1970.0,2
J Gartner,1971.0,1
J Graffman,1971.0,1
J Hecht,1972.0,2
J Hunt,1971.0,1
J Hunt,1972.0,2
J Kammeraad,1971.0,2
J Kaytor,1971.0,1
J Kitchin,1972.0,2
J Kucera,1972.0,1
J Lewakowski,1971.0,1
J Lokka,1972.0,1
J Mcfarland,1971.0,1
J Mckeen,1973.0,2
J Mckinley,1971.0,2
J Molyneaux,1971.0,1
J Moore,1970.0,2
J Moran,1972.0,1
J Murray,1972.0,1
J Nam,1972.0,1
J Nezat,1971.0,1
J Notaras,1972.0,2
J Notaras,1973.0,8
J Ohma,1972.0,1
J Palotsee,1973.0,2
J Park,1971.0,2
J Phillips,1971.0,2
J Pinkerton,1972.0,3
J Plevyak,1972.0,3
J Priegel,1971.0,4
J Pronovost,1971.0,6
J Rogerson,1972.0,1
J Squelch,1971.0,1
J Staggs,1973.0,6
J Vandenberg,1972.0,3
J Waters,1973.0,3
J Wiss,1972.0,2
Jack J Gilbert,1973.0,3
Jacobsen Mfg Co,1969.0,2
Jake J Walcker,1973.0,1
James A Weinheimer,1970.0,1
James B Meaden,1973.0,1
James D Cuff,1968.0,2
James D Patton,1969.0,2
James E Mattingly,1972.0,8
James F Maher,1969.0,2
James G Blanchard,1974.0,1
James Neil Strohlein,1972.0,1
James S Carter,1969.0,2
James T Triplett,1968.0,1
James W Kirkbride,1973.0,1
James Willard Boling,1970.0,2
Jamieson Frederick T,1974.0,1
Jean Paul Filippi,1969.0,4
Jefferson D Morgan,1968.0,2
Jeffry C Bucher,1973.0,1
Joachim E Lay,1973.0,1
Joe E Rogers,1970.0,2
Joe E Rogers,1971.0,1
John B Goss,1969.0,1
John C Bandimere,1969.0,1
John Crawford Martin,1974.0,1
John D Skildum,1971.0,1
John E Schulz,1974.0,1
John Henry Brems,1972.0,4
John J Bloomfield,1969.0,3
John J Horan,1969.0,1
John J Horan,1970.0,2
John J Kelmar,1974.0,3
John J Ryan,1973.0,5
John Krizman,1974.0,1
John M Armstrong,1972.0,1
John P Phillips,1970.0,4
John Peter Soltau,1970.0,4
John R Cuper,1969.0,1
John Royston Siddons,1970.0,3
John T Rauen,1972.0,5
John W Dabrio,1974.0,3
John Winn,1970.0,3
Johnson Engine Works Co The,1968.0,4
Johnson Herbert J,1974.0,4
Johnson Products Inc,1968.0,5
Johnson Products Inc,1970.0,7
Jordan V Bauer,1969.0,3
Jordan Wilmer C,1973.0,3
Jordan Wilmer C,1975.0,2
Jose Ignacio Martin Artajo,1974.0,1
Joseph A Jozlin,1973.0,4
Joseph Carl Firey,1974.0,5
Joseph Carl Firey,1976.0,3
Joseph H Baldwin,1970.0,1
Joseph Kecik,1975.0,2
Joseph Lewis,1968.0,3
Joseph M Rossi,1972.0,4
Joseph R Graziano,1968.0,1
Joseph Rossel,1970.0,2
Joseph Stenberg,1973.0,2
Joseph Vizza,1970.0,1
Joseph Weissenbach,1973.0,1
Joyce Cridland Co,1967.0,2
Jozsef Toth,1972.0,2
Jr Albert Raymond Thomas,1973.0,3
Jr Ernest Blaney Dane,1974.0,4
Jr Frank Kirmss,1973.0,3
Jr Herman L Paul,1974.0,3
Jr Seth Lee,1973.0,3
Jr William H Beekhuis,1974.0,2
Julius E Witzky,1970.0,5
Jurgen Guido,1970.0,3
K Allen,1971.0,2
K Chahrouri,1972.0,1
K Dahlstrom,1971.0,2
K Hashimoto,1973.0,5
K Isaksen,1970.0,3
K Jackson,1971.0,1
K Kemp,1971.0,2
K Lenger,1970.0,3
K Line Ind Inc,1969.0,2
K M F Dev Corp,1967.0,3
K M F Dev Corp,1968.0,3
K Rasanen,1974.0,1
K Sauder,1971.0,3
Kammerer Edwin G,1974.0,2
Kappas Chris S,1974.0,1
Karl E Studenroth,1974.0,6
Karl Kirchweger,1973.0,3
Karl Knickerbocker,1974.0,1
Karl Marsch,1970.0,2
Karpisek Ladislav Stephan,1974.0,1
Kawasaki Jukogyo KK,1975.0,2
Kee K Mc,1971.0,4
Kelley Arthur P,1974.0,1
Kenjiro Ishida,1969.0,2
Kenneth D Sauder,1971.0,3
Kenneth E Joslin,1972.0,1
Kiekhaefer Elmer Carl,1969.0,7
Kiichi Yamada,1973.0,1
Kilburn I Porter,1969.0,4
Kirkman Thomas E,1975.0,3
Kloeckner Humboldt Deutz Ag,1967.0,2
Kloeckner Humboldt Deutz Ag,1968.0,0
Knisch Enterprises Inc,1972.0,1
Kobel George B,1974.0,2
Kohler Co,1968.0,1
Kokusan Denki Co,1971.0,2
Kokusan Denki Co Ltd,1974.0,1
Konstantin Stepanovich Gurkov,1973.0,4
Kornhauser Daniel W,1975.0,5
Kraftwerk Union Ag,1972.0,1
Kubota Ltd,1968.0,3
Kunihiko Negi,1968.0,2
L Elsbett,1971.0,2
L Grainger,1972.0,3
L Heintzelman,1971.0,1
L Heintzelman,1972.0,4
L Heintzelman,1973.0,1
L King,1972.0,1
L Kramer,1973.0,7
L Mercier,1972.0,15
L Mize,1971.0,4
LUMENITION Ltd,1973.0,2
LUMENITION Ltd,1974.0,2
Ladell Ray Swiden,1969.0,5
Laing Nikolaus,1971.0,1
Lamb Co F Jos,1970.0,5
Laprade Bernard,1971.0,6
Laprade Xavier,1971.0,6
Lassota Marek J,1974.0,5
Laurence D Bartlett,1970.0,12
Laval Turbine,1968.0,12
Lawrence Allister Ingham,1974.0,1
Lear Siegler Inc,1969.0,2
Lee Hunter,1974.0,2
Lee Jr Seth,1975.0,2
Leif Lokka,1970.0,2
Lenard Wiegert,1968.0,1
Leon Guillaume,1973.0,2
Leonard L Kinast,1969.0,2
Leonid Mikhailovich Malyshev,1974.0,4
